LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow,JT1
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,15,139.65,116.26,3,4.51,20,0.716075904
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,16,192.77,84.22,3,4.51,21.5,0.518752918
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,17,167.17,97.12,3,4.51,25,0.598193456
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,18,170.01,95.5,3,4.51,33,0.588200694
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,19,149.56,108.56,3,4.51,37,0.668627975
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,20,144.54,112.33,3,4.51,39.75,0.691850007
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,21,159.27,101.94,3,4.51,65.75,0.627864632
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,22,141.24,114.95,3,4.51,108.25,0.708014727
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,23,143.79,112.91,3,4.51,85.25,0.695458655
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,24,154.82,104.87,3,4.51,100.75,0.645911381
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,25,152.23,106.65,3,4.51,134.75,0.656900742
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,26,155.3,104.55,3,4.51,169.75,0.643915003
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,27,178.85,90.78,1,4.51,226.75,0.559127761
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,28,178.85,90.78,1,4.51,223,0.559127761
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,29,178.85,90.78,1,4.51,276.25,0.559127761
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,30,160.36,101.25,1,4.51,291.5,0.623596907
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,31,160.46,101.18,1,4.51,302.5,0.623208276
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,32,160.55,101.13,1,4.51,295,0.622858922
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,33,158.9,102.18,1,4.51,298.25,0.629326621
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,34,157.25,103.25,1,4.51,269.25,0.635930048
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,35,157.25,103.25,1,4.51,239.5,0.635930048
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,36,164.42,98.75,1,4.51,213.25,0.608198516
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,37,164.42,98.75,1,4.51,210,0.608198516
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,38,164.58,98.65,1,4.51,197.75,0.607607243
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,39,148.71,109.18,1,4.51,195,0.672449734
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,40,148.71,109.18,1,4.51,181.5,0.672449734
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,41,148.71,109.18,1,4.51,186.25,0.672449734
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,42,144.87,112.07,3,4.51,187.5,0.690274039
AL100,A414 between M1 J7 and A405 (AL100),1/3/13 0:00,43,131.16,123.79,1,4.51,173.5,0.762427569
